"id","title","short_title","api_uri","first_name","last_name","date_of_birth","party","govtrack_id","icpsr_id","fec_candidate_id","url","in_office","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","gender","twitter_account","youtube_account","cspan_id","google_entity_id","suffix","next_election","facebook_account","votesmart_id","crp_id","rss_url"
"R000361","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/R000361.json","John","Rockefeller","1937-06-18","D","300084","14922","","http://www.rockefeller.senate.gov",false,"7",550,8,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:wv","WV","2","","S176",1.45,91.34,8.66,"D.","M","SenRockefeller","SenatorRockefeller","1238","/m/01xmnh","IV",,"SenRockefeller",,,
"R000460","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/R000460.json","William","Roth","1921-07-22","R","400565","11044","","",false,"21",550,36,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:de","DE","1","","S083",6.55,80.12,19.88,"V.","M",,,,,"Jr.",,,,,
"R000497","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/R000497.json","Warren","Rudman","1930-05-18","R","409456","14910","","",false,"11",550,13,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nh","NH","3","","S160",2.36,79.77,20.23,"Bruce","M",,,,,,,,,,
"S000055","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/S000055.json","James","Sanford","1917-08-20","D","409562","15503","","",false,"5",550,46,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nc","NC","3","","S178",8.36,86.26,13.74,"Terry","M",,,,,,,,,,
"S000064","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/S000064.json","Paul","Sarbanes","1933-02-03","D","300086","13039","","",false,"15",550,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:md","MD","1","","S106",0,91.45,8.55,"S.","M",,,,,,,,,,
"S000068","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/S000068.json","James","Sasser","1936-09-30","D","409580","14509","","",false,"15",550,2,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:tn","TN","1","","S117",0.36,88.43,11.57,"Ralph","M",,,,,,,,,,
"S000269","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/S000269.json","John","Seymour","1937-12-03","R","409770","15902","","",false,"1",550,54,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ca","CA","1","","S218",9.82,86.76,13.24,,"M",,,,,,,,,,
"S000320","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/S000320.json","Richard","Shelby","1934-05-06","D","300089","94659","","https://www.shelby.senate.gov",false,"5",550,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:al","AL","3","","S184",0,68.4,31.6,"C.","M","SenShelby","SenatorRichardShelby","1859","/m/020yj1",,,"RichardShelby","53266","N00009920","https://www.shelby.senate.gov/public/?a=rss.feed"
"S000423","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/S000423.json","Paul","Simon","1928-11-29","D","409917","14275","","",false,"7",550,7,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:il","IL","2","","S175",1.27,87.03,12.97,"Martin","M",,,,,,,,,,
"S000429","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/S000429.json","Alan","Simpson","1931-09-02","R","409923","14710","","",false,"13",550,8,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:wy","WY","2","","S142",1.45,91.95,8.05,"Kooi","M",,,"378",,,,,,,
"S000606","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/S000606.json","Bob","Smith","1941-03-30","R","300155","15234","","",false,"1",550,2,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nh","NH","2","","S216",0.36,77.22,22.78,,"M",,,,,,,,,,
"S000709","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/S000709.json","Arlen","Specter","1930-02-12","R","300092","14911","","",false,"11",550,15,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:pa","PA","3","","S161",2.73,70.64,29.36,,"M","SenArlenSpecter","SenatorArlenSpecter",,"/m/0204ym",,,,,,
"S000888","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/S000888.json","Ted","Stevens","1923-11-18","R","300094","12109","","",false,"23",550,14,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ak","AK","2","","S090",2.55,85.07,14.93,"F.","M",,,,,,,,,,
"S001138","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/S001138.json","Steven","Symms","1938-04-23","R","410588","14056","","",false,"11",550,24,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:id","ID","3","","S162",4.36,83.88,16.12,"Douglas",,,,,,,,,,,
"T000254","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/T000254.json","Strom","Thurmond","1902-12-05","R","300157","9369","","",false,"36",550,3,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:sc","SC","2","","S096",0.55,92.02,7.98,,"M",,,,,,,,,,
"W000092","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/W000092.json","Malcolm","Wallop","1933-02-27","R","411271","14511","","",false,"15",550,28,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:wy","WY","1","","S119",5.09,82.56,17.44,,"M",,,,,,,,,,
"W000154","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/W000154.json","John","Warner","1927-02-18","R","300099","14712","","",false,"13",550,12,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:va","VA","2","","S143",2.18,88.49,11.51,"W.","M",,,,,,,,,,
"W000288","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/W000288.json","Paul","Wellstone","1944-07-21","D","400566","15901","","",false,"1",550,18,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:mn","MN","2","","S217",3.27,86.95,13.05,"D.","M",,,,,,,,,,
"W000607","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/W000607.json","Pete","Wilson","1933-08-23","R","411762","15104","","",false,"8",0,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ca","CA","1","","S165",0,0,0,,"M",,,,,,,,,,
"W000647","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/W000647.json","Timothy","Wirth","1939-09-22","D","411801","14282","","",false,"5",550,69,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:co","CO","3","","S181",12.55,84.78,15.22,"E.","M",,,,,,,,,,
"W000665","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/W000665.json","Harris","Wofford","1926-04-09","D","411818","15903","","",false,"1",496,24,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:pa","PA","1","","S219",4.84,91.54,8.46,,"M",,,,,,,,,,
