"id","title","short_title","api_uri","first_name","middle_name","last_name","date_of_birth","gender","party","twitter_account","youtube_account","govtrack_id","cspan_id","icpsr_id","google_entity_id","fec_candidate_id","url","in_office","dw_nominate","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","facebook_account","votesmart_id","crp_id","rss_url","suffix"
"M000355","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/M000355.json","Mitch",,"McConnell","1942-02-20","M","R","McConnellPress",,"300072","2351","14921","/m/01z6ls","","https://www.mcconnell.senate.gov",false,0.404,"27","2014",486,0,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ky","KY","2","","S174",0,93.71,6.29,"mitchmcconnell","53298","N00003389","https://www.mcconnell.senate.gov/public/?a=RSS.Feed",
"M000639","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M000639.json","Robert",,"Menendez","1954-01-01","M","D","SenatorMenendez","SenatorMenendezNJ","400272","29608","29373","/m/033d3p","","https://www.menendez.senate.gov",false,-0.362,"6","2012",486,13,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:nj","NJ","1","","S306",2.67,96.38,3.62,"senatormenendez","26961","N00000699",,
"M001176","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/M001176.json","Jeff",,"Merkley","1956-10-24","M","D","SenJeffMerkley","SenatorJeffMerkley","412325","1029842","40908","/m/026k60f","","https://www.merkley.senate.gov",false,-0.477,"3","2014",486,7,0,"2019-11-18 02:30:21 -0500","ocd-division/country:us/state:or","OR","2","","S322",1.44,93.91,6.09,"jeffmerkley","23644","N00029303","https://www.merkley.senate.gov/rss/feeds/",
"M000702","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/M000702.json","Barbara","A.","Mikulski","1936-07-20","F","D","SenatorBarb","senatormikulski","300073","1396","14440","/m/0206nm","","https://www.mikulski.senate.gov",false,-0.37,"25","2016",486,7,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:md","MD","3","","S182",1.44,95.18,4.82,"SenatorMikulski",,,,
"M000934","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/M000934.json","Jerry",,"Moran","1954-05-29","M","R","JerryMoran","senatorjerrymoran","400284","45469","29722","/m/024s8t","","https://www.moran.senate.gov",false,0.414,"1","2016",486,25,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ks","KS","3","","S347",5.14,85.21,14.79,"jerrymoran","542","N00005282","https://www.moran.senate.gov/public/?a=rss.feed",
"M001153","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/M001153.json","Lisa",,"Murkowski","1957-05-22","F","R","LisaMurkowski","senatormurkowski","300075","1004138","40300","/m/0202kt","","https://www.murkowski.senate.gov",false,0.207,"11","2016",486,24,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ak","AK","3","","S288",4.94,73.51,26.49,"SenLisaMurkowski","15841","N00026050",,
"M001111","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/M001111.json","Patty",,"Murray","1950-10-11","F","D","PattyMurray","SenatorPattyMurray","300076","25277","49308","/m/018qx5","","https://www.murray.senate.gov",false,-0.343,"19","2016",486,8,0,"2022-07-13 02:50:31 -0400","ocd-division/country:us/state:wa","WA","3","","S229",1.65,96,4,,"53358","N00007876","https://www.murray.senate.gov/category/press-releases/feed/",
"N000032","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/N000032.json","Bill",,"Nelson","1942-09-29","M","D","SenBillNelson","senbillnelson","300078","1931","14651","/m/01_pb_","","https://www.billnelson.senate.gov",false,-0.193,"11","2012",486,3,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:fl","FL","1","","S282",0.62,94.38,5.63,,"1606","N00009926",,
"N000180","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/N000180.json","Ben",,"Nelson","1941-05-17","M","D","SenBenNelson","SenBenNelson","300077","16991","40103","/m/01_pcc","","",false,-0.03,"11","2012",486,4,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ne","NE","1","","S283",0.82,85.6,14.41,,,,,
"P000603","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/P000603.json","Rand",,"Paul","1963-01-07","M","R","RandPaul","SenatorRandPaul","412492","9265241","41104","/m/05pdb7q","","https://www.paul.senate.gov",false,0.873,"1","2016",486,21,3,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ky","KY","3","","S348",4.32,74.34,25.66,"SenatorRandPaul","117285","N00030836",,
"P000449","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/P000449.json","Rob",,"Portman","1955-12-19","M","R","SenRobPortman","SenRobPortman","400325","31819","29386","/m/0343xg","","https://www.portman.senate.gov",false,0.374,"1","2016",486,5,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:oh","OH","3","","S349",1.03,91.74,8.26,"senrobportman","27008","N00003682","https://www.portman.senate.gov/public/index.cfm/rss/feed",
"P000590","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/P000590.json","Mark",,"Pryor","1963-01-10","M","D","SenMarkPryor","senatorpryor","300080","1002201","40301","/m/01gb3p","","http://www.pryor.senate.gov",false,-0.199,"9","2014",486,8,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ar","AR","2","","S295",1.65,89.89,10.11,"MarkPryor",,,,
"R000122","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/R000122.json","Jack",,"Reed","1949-11-12","M","D","SenJackReed","SenatorReed","300081","24239","29142","/m/0202mc","","https://www.reed.senate.gov",false,-0.382,"15","2014",486,2,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ri","RI","2","","S259",0.41,96.26,3.74,"SenJackReed","27060","N00000362",,
"R000146","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/R000146.json","Harry",,"Reid","1939-12-02","M","D","SenatorReid","SenatorReid","300082","1683","15054","/m/0204x1","","http://www.reid.senate.gov",false,-0.276,"25","2016",486,1,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:nv","NV","3","","S198",0.21,95.23,4.77,"SenatorReid",,,,
"R000584","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/R000584.json","Jim",,"Risch","1943-05-03","M","R","SenatorRisch","SenatorJamesRisch","412322","1020034","40902","/m/06y9p0","","https://www.risch.senate.gov",false,0.635,"3","2014",486,13,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:id","ID","2","","S323",2.67,87.72,12.28,"senatorjimrisch","2919","N00029441","https://www.risch.senate.gov/public/?a=rss.feed",
"R000307","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/R000307.json","Pat",,"Roberts","1936-04-20","M","R","SenPatRoberts","SenPatRoberts","300083","16354","14852","/m/01_pdv","","https://www.roberts.senate.gov",false,0.414,"15","2014",486,19,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ks","KS","2","","S260",3.91,89.74,10.26,"SenPatRoberts","26866","N00005285","https://www.roberts.senate.gov/public/index.cfm?a=RSS.Feed",
"R000361","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/R000361.json","John","D.","Rockefeller","1937-06-18","M","D","SenRockefeller","SenatorRockefeller","300084","1238","14922","/m/01xmnh","","http://www.rockefeller.senate.gov",false,-0.326,"27","2014",486,45,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:wv","WV","2","","S176",9.26,95.89,4.11,"SenRockefeller",,,,"IV"
"R000595","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/R000595.json","Marco",,"Rubio","1971-05-28","M","R","SenRubioPress","SenatorMarcoRubio","412491","87599","41102","/m/0dpr5f","","https://www.rubio.senate.gov",false,0.583,"1","2016",486,32,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:fl","FL","3","","S350",6.58,87.19,12.81,"SenatorMarcoRubio","1601","N00030612","https://www.rubio.senate.gov/public/?a=rss.feed",
"S000033","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/S000033.json","Bernard",,"Sanders","1941-09-08","M","ID","SenSanders","senatorsanders","400357","994","29147","/m/01_gbv","","https://www.sanders.senate.gov",false,-0.518,"5","2012",486,16,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:vt","VT","1","","S313",3.29,91.01,8.99,"senatorsanders","27110","N00000528",,
"S001194","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/S001194.json","Brian",,"Schatz","1972-10-20","M","D","SenBrianSchatz","senbrianschatz","412507","87784","41112","/m/0dd109","","https://www.schatz.senate.gov",false,-0.401,"1",,20,0,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:hi","HI","3","","S353",0,95,5,"SenBrianSchatz","17852","N00028138",,
"S000148","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/S000148.json","Charles","E.","Schumer","1950-11-23","M","D","SenSchumer","SenatorSchumer","300087","5929","14858","/m/01w74d","","https://www.schumer.senate.gov",false,-0.351,"13","2016",486,9,1,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ny","NY","3","","S270",1.85,97.47,2.53,"senschumer","26976","N00001093",,
"S001141","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/S001141.json","Jeff",,"Sessions","1946-12-24","M","R","SenatorSessions","SenatorSessions","300088","44441","49700","/m/020yjg","","http://www.sessions.senate.gov/public",false,0.549,"15","2014",486,7,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:al","AL","2","","S261",1.44,90.43,9.57,"jeffsessions",,"N00003062",,
"S001181","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/S001181.json","Jeanne",,"Shaheen","1947-01-28","F","D","SenatorShaheen","senatorshaheen","412323","22850","40906","/m/01rrm2","","https://www.shaheen.senate.gov",false,-0.257,"3","2014",486,6,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:nh","NH","2","","S324",1.23,96.44,3.56,"SenatorShaheen","1663","N00024790",,
"S000320","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/S000320.json","Richard","C.","Shelby","1934-05-06","M","R","SenShelby","SenatorRichardShelby","300089","1859","94659","/m/020yj1","","https://www.shelby.senate.gov",false,,"25","2016",486,3,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:al","AL","3","","S184",0.62,89.87,10.13,"RichardShelby","53266","N00009920","https://www.shelby.senate.gov/public/?a=rss.feed",
"S000663","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/S000663.json","Olympia","J.","Snowe","1947-02-21","F","R","SenatorSnowe",,"300091",,"14661","/m/020yg2","","",false,0.091,"17","2012",486,0,8,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:me","ME","1","","S245",0,68.76,31.24,,,,,
"S000770","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/S000770.json","Debbie",,"Stabenow","1950-04-29","F","D","SenStabenow","senatorstabenow","300093","45451","29732","/m/01xh64","","https://www.stabenow.senate.gov",false,-0.328,"11","2012",486,7,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:mi","MI","1","","S284",1.44,93.91,6.09,"SenatorStabenow","515","N00004118",,
"T000464","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/T000464.json","Jon",,"Tester","1956-08-21","M","D","SenatorTester","senatorjontester","412244","1020176","40702","/m/066cdp","","https://www.tester.senate.gov",false,-0.213,"5","2012",486,3,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:mt","MT","1","","S314",0.62,91.25,8.75,"senatortester","20928","N00027605","https://www.tester.senate.gov/rss/",
"T000250","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/T000250.json","John",,"Thune","1961-01-07","M","R","SenJohnThune","johnthune","400546","45552","29754","/m/03ybyn","","https://www.thune.senate.gov",false,0.409,"7","2016",486,11,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:sd","SD","3","","S303",2.26,92.31,7.69,,"398","N00004572","https://www.thune.senate.gov/public/?a=RSS.Feed",
"T000461","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/T000461.json","Patrick","J.","Toomey","1961-11-17","M","R","SenToomey","sentoomey","400408","7958","29935","/m/02_kk7","","https://www.toomey.senate.gov",false,0.632,"1","2016",486,9,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:pa","PA","3","","S351",1.85,88.46,11.54,"senatortoomey","24096","N00001489",,
"U000038","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/U000038.json","Mark",,"Udall","1950-07-18","M","D","MarkUdall","senatormarkudall","400412","7634","29906","/m/024zbx","","http://www.markudall.senate.gov",false,-0.353,"4","2014",486,9,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:co","CO","2","","S325",1.85,93.67,6.33,"markudall",,,,
"U000039","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/U000039.json","Tom",,"Udall","1948-05-18","M","D","SenatorTomUdall","senatortomudall","400413","10075","29924","/m/033t35","","https://www.tomudall.senate.gov",false,-0.453,"4","2014",486,13,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:nm","NM","2","","S326",2.67,97.45,2.55,"senatortomudall","22658","N00006561",,
"V000127","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/V000127.json","David",,"Vitter","1961-05-03","M","R",,"SenatorVitter","400418","60672","29918","/m/025jr2","","https://www.vitter.senate.gov",false,0.495,"7","2016",486,40,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:la","LA","3","","S299",8.23,83.98,16.02,,,,,
"W000805","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/W000805.json","Mark",,"Warner","1954-12-15","M","D","MarkWarner","SenatorMarkWarner","412321","7630","40909","/m/024mm1","","https://www.warner.senate.gov",false,-0.193,"3","2014",486,23,0,"2019-11-18 02:30:20 -0500","ocd-division/country:us/state:va","VA","2","","S327",4.73,93.48,6.52,"MarkRWarner","535","N00002097","https://www.warner.senate.gov/public/?a=RSS.Feed",
"W000803","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/W000803.json","Jim",,"Webb","1946-02-09","M","D",,"SenatorWebb","412249","1914","40706","/m/0574xy","","",false,-0.169,"5","2012",486,21,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:va","VA","1","","S315",4.32,90.93,9.07,,,,,
"W000802","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/W000802.json","Sheldon",,"Whitehouse","1955-10-20","M","D","SenWhitehouse","SenatorWhitehouse","412247","92235","40704","/m/07qw94","","https://www.whitehouse.senate.gov",false,-0.403,"5","2016",486,3,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ri","RI","3","","S316",0.62,96.25,3.75,"SenatorWhitehouse","2572","N00027533","https://www.whitehouse.senate.gov/rss/feeds/?type=all&cachebuster=1",
"W000437","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/W000437.json","Roger",,"Wicker","1951-07-05","M","R","SenatorWicker","SenatorWicker","400432","18203","29534","/m/025xxb","","https://www.wicker.senate.gov",false,0.377,"5","2012",486,14,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ms","MS","1","","S318",2.88,88.58,11.42,"SenatorWicker","21926","N00003280","https://www.wicker.senate.gov/public/?a=rss.feed",
"W000779","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/W000779.json","Ron",,"Wyden","1949-05-03","M","D","RonWyden","senronwyden","300100","1962","14871","/m/0178p9","","https://www.wyden.senate.gov",false,-0.319,"16","2016",486,16,0,"2019-11-18 02:30:21 -0500","ocd-division/country:us/state:or","OR","3","","S247",3.29,94.86,5.14,,"27036","N00007724",,
